timestamp,label,score
2026-07-22 16:10:52,current,0.0260673457987778
2026-07-22 16:11:47,current,0.0260673457987778
2026-07-22 16:13:31,current,0.0260673457987778
2026-07-22 16:25:38,current,0.0260673457987778
2026-07-22 16:31:18,current,0.0260673457987778
2026-07-22 16:59:15,current,0.0231339959104003
2026-07-22 17:00:13,current,0.0231339959104003
2026-07-22 17:06:12,current,0.0231339959104003
2026-07-22 17:13:48,current,-999.0
2026-07-22 17:15:40,current,-999.0
2026-07-22 17:18:32,current,0.025710672742188
2026-07-22 17:19:00,current,0.02571067274218806
